             Binding p-values														Binding ratios	
EntrezGene Symbol	p65 (-LPS)	c-Rel (-LPS)	RelB (-LPS)	p50 (-LPS)	p52 (-LPS)		p65 (+LPS)	c+Rel (+LPS)	RelB (+LPS)	p50 (+LPS)	p52 (+LPS)			RNA pol II (-LPS)	RNA pol II (+LPS)
GR6	0.38	0.54	0.68	0.67	0.78		0.53	0.92	0.74	0.64	0.49			0.86	0.84
GRAP2	0.98	0.89	0.93	0.89	0.64		0.85	0.65	0.76	0.79	0.81			0.61	0.59
GRB7	0.21	0.34	0.18	0.51	0.61		0.17	0.68	0.79	0.74	0.46			0.86	0.84
Grcc9	0.69	0.63	0.2	0.01	0.13		0.13	0.34	0.8	0.05	0.44			3.9	3.55
GREM1	0.15	0.37	0.43	0.07	1		0.14	0.15	0.85	0.31	0.88			0.97	0.94
GREM2	0.37	0.47	0.69	0.58	0.43		0.19	0.62	0.25	0.44	0.46			0.86	0.89
GRHPR	0.9	0.65	0.28	0.43	0.5		0.63	0.78	0.61	0.28	0.61			4.59	3.43
GRIA1	0.1	0.2	0.59	0.78	0.16		0.83	0.26	0.37	0.56	0.37			0.78	0.76
GRIA3	0.25	0.79	0.22	0.53	0.83		0.52	0.26	0.73	0.37	0.43			1.01	1.01
GRIA4	0.16	0.08	0.21	0.56	0.44		0.72	0.66	0.6	0.85	0.43			0.93	0.93
GRIK1	0.39	0.43	0.23	0.79	0.54		0.26	0.29	0.28	0.54	0.39			0.93	0.93
GRIK2	0.34	0.78	0.31	0.79	0.41		0.81	0.36	0.75	0.67	0.61			0.75	0.79
GRIK3	0.63	0.45	 	0.54	0.59		0.65	0.55		0.66	 				
GRIK4	0.08	0.12	0.28	0.16	0.28		0.13	0.07	0.19	0.39	0.05			0.99	1.07
GRIK5	0.19	0.41	0.28	0.52	0.38		0.57	0.57	0.54	0.7	0.2			0.9	0.83
GRIN2B	0.48	0.6	0.07	0.62	0.51		0.86	0.81	0.7	0.63	0.57			1.1	1.07
GRIN2D	0.2	0.11	0.6	0.29	0.33		0.3	0.58	0.47	0.1	0.44			2.29	2.19
GRIPAP1	0.1	 	0.08	0.3	 		0.63	0.23	0.32	0.68	0.1			1	0.96
GRK4	0.77	0.39	0.24	0.13	1		0.5	0.11	0.2	0.05	0.31			3.77	4
GRM1	0.19	0.38	0.48	0.7	0.3		0.28	0.8	0.68	0.74	0.57			0.96	0.91
GRM2	0.37	0.65	0.4	0.65	0.6		0.79	0.67	0.61	0.81	0.77			1.81	1.38
GRM3	0.54	0.12	0.12	0.31	0.36		0.24	0.37	0.62	0.72	0.18			1.24	1.04
GRM4	0.27	0.26	0.29	0.12	0.08		0.21	0.22	0.8	0.59	0.43			0.96	0.98
GRM5	0.5	0.45	0.44	0.53	0.86		0.53	0.69	0.62	0.9	0.57			0.75	0.61
GRM6	0.56	0.52	0.33	0.82	0.43		0.94	0.73	0.41	0.83	0.55			0.89	0.96
GRM8	0.54	0.56	0.64	0.52	0.72		0.57	0.58	0.45	0.59	0.41			0.82	0.74
GRP	0.23	0.31	0.35	0.46	0.24		0.34	0.5	0.35	0.57	0.31			0.9	0.95
GRPR	0.59	0.68	0.94	0.76	0.5		0.69	0.38	0.73	0.76	0.78			0.6	0.64
GRSF1	0.07	0.17	0.3	0.43	0.2		0.34	0.53	0.3	0.58	0.17			0.91	0.98
GRWD1	0.97	0.8	0.65	0.55	1		0.15	0.9	0.31	0.26	0.81			2.82	2.19
GSCL	0.25	0.64	0.65	0.51	1		0.54	0.96	0.63	0.82	0.94				0.7
GSDML	0.15	0.24	0.17	0.58	0.3		0.43	0.28	0.36	0.58	0.23			1.02	1
GSG2	0.27	0.04	0.68	0.29	0.33		0.12	0.45	0.31	0.21	0.33			1.56	1.45
GSH-2	0.15	0.17	0.77	0.08	0.33		0.44	0.43	0.64	0.26	0.91			1.04	1.27
GSK3B	0.85	0.06	0.35	0.03	0.99		0.3	0.08	0.22	0.01	0.3			4.79	6.7
GSPT1	0.87	0.63	0.67	0.44	0.43		0.63	0.67	0.08	0.21	0.14			3.31	3.15
GSR	0.72	0.44	0.28	0.44	0.62		0.62	0.44	0.56	0.34	0.39			2.13	1.65
GSS	0.9	0.78	0.25	0.34	0.51		0.29	0.66	0.24	0.21	0.28			4.63	4.6
GSTA2	0.73	0.9	0.84	0.83	0.59		0.9	0.74	0.64	0.88	0.84			0.58	0.53
GSTA4	0.28	0.32	0.49	0.34	0.31		0.15	0.62	0.31	0.44	0.27			1.52	1.1
GSTK1	0.68	0.48	0.31	0.59	0.41		0.54	0.33	0.64	0.47	0.68			3.98	3.28
GSTM1	0.06	0.43	0.41	0.39	0.92		0.32	0.24	0.39	0.7	0.44			0.65	0.68
GSTM2	0.09	0.21	0.89	0.7	0.51		0.41	0.55	0.93	0.73	0.75			1.69	1.77
GSTM3	0.47	0.96	0.67	0.74			0.63	0.92	0.78	0.86	0.82			0.68	0.71
GSTM4	0.24	0.07	0.42	0.52	0.34		0.69	0.84	0.37	0.41	0.33			1	0.99
GSTM5	0.08	0.46	0.69	0.58	0.27		0.5	0.25	0.4	0.54	0.31			0.9	0.92
GSTO1	0.92	0.15	0.38	0.09	0.86		0.35	0.49	0.61	0.39	0.78			4.68	5.81
GSTT2	0.22	0.82	0.75	0.73	0.81		0.51	0.7	0.48	0.69	0.73			0.62	0.69
GSTZ1	0.38	0.59	0.23	0.36	0.53		0.62	0.82	0.46	0.15	0.42			3.69	4.08
GTF2A1	0.41	0.91	 	0.48	0.64		0.88	0.96		0.85	 				
GTF2A2	0.64	0.84	 	0.78			0.86	0.76		0.79	 				
GTF2B	0.89	0.75	0.16	0.32	0.79		0.59	0.58	0.17	0.33	0.44			3.1	5.38
GTF2E1	0.95	0.81	0.32		0.26		0.53	0.69	0.07	 	0.34			4.1	4.09
GTF2F1	0.95	0.97	0.47	0.47	0.74		0.36	0.73	0.34	0.15	0.63			3.52	3.22
GTF2F2	0.81	0.31	0.78	0.59	0.73		0.43	0.54	0.24	0.09	0.44			2.68	2.45
GTF2H1	0.94	0.7	0.19	0.28	0.26		0.41	0.51	0.15	0.06	0.53			5.18	5.12
GTF2H2	0.98	1	0.96	0.97	0.72		0.94	0.98	0.89	0.83	0.97			0.87	0.79
GTF2H3	0.88	0.66	0.25	0.64	0.67		0.51	0.34	0.23	0.11	0.45			4.63	4.79
GTF2H4	0.17	0.03	0.22	0.06	0.25		0.01	0.15	0.04	0.07	0.04			1.43	1.47
GTF2I	0.05	0.58	 	0.72	0.84		0.5	0.78	0.37	0.7	0.93			1.48	1.11
GTF2IRD1	0.38	0.16	 	0.34	0.25		0.55	0.8		0.46	 			0.69	
GTF3A	0.03	0.35	0.36	0.53	0.28		0.03	0.51	0.31	0.48	0.16			0.95	1.02
GTF3C1	0.63	0.68	0.75	0.3	0.28		0.14	0.62	0.56	0.11	0.57			3.72	3.1
GTF3C3	0.22	0.22	0.04	0.14	0.22		0.19	0.2	0.23	0.51	0.17			1.65	1.73
GTF3C4	0.54	0.4	0.22	0	0.55		0.4	0.17	0.04	0	0.11			4.97	4.79
GTF3C5	0.63	0.63	 	0.58	0.66		0.57	0.7		0.6	 			4.32	4.43
GTPBP1	0.31	0.87	0.31	0.8	0.33		0.59	0.48	0.63	0.69	0.57			1.03	0.93
GTPBP4	0.82	0.27	0.27	0.39	0.66		0.07	0.05	0	0.02	0.15			4.53	4.51
GTSE1	0.36	0.43	0.34	0.63	0.28		0.91	0.63	0.43	0.54	0.58			2.46	2.38
GUCA1A	0.2	0.52	0.76	0.9	0.21		0.78	0.63	0.55	0.88	0.31			0.65	0.66
GUCA1C	0.77	0.8	0.81	0.84	0.65		0.54	0.39	0.54	0.79	0.75			0.7	0.73
GUCA2B	0.3	0.61	0.32	0.69	0.68		0.13	0.36	0.68	0.44	0.56			0.76	0.74
GUCY1A2	0.13	0.45	0.67	0.5	0.54		0.16	0.45	0.39	0.79	0.43			0.97	0.93
GUCY1A3	0.7	0.22	0.3	0.33	0.15		0.47	0.54	0.69	0.72	0.6			0.75	0.72
GUCY1B2	0.21	0.54	0.51	0.75	0.42		0.38	0.46	0.3	0.23	0.27			0.63	0.63
GUCY1B3	0.29	0.33	 	0.82	0.4		0.64	0.89		0.67	 				
GUCY2C	0.62	0.77	0.34	0.69	0.44		0.74	0.75	0.68	0.59	0.63			2.18	1.53
GUCY2F	0.9	0.63	0.98	0.97	0.99		0.99	0.77	0.85	0.82	0.84			0.55	0.55
GUK1	0.91	0.17	0.16	0.36	0.92		0.94	0.75	0.69	0.45	0.62			3.69	4.64
GUSB	0.78	0.59	0.13	0.19	0.37		0.48	0.3	0.42	0.18	0.62			2.48	2.02
GYG	0.02	0.12	0.1	0.44	0.94		0.31	0.07	0.15	0.52	0.09			1.17	1.07
GYG2	0.93	0.89	0.57	0.61	0.64		0.27	0.71	0.73	0.82	0.78			1.01	1.05
GYPB	0.07	0.35	0.17	0.48	0.33		0.09	0.14	0.47	0.74	0.34			0.9	0.97
GYPC	0.75	0.77	0.02	0	0.16		0	0	0	0	0			2.13	2.55
GYPE	0.13	0.02	0.08	0.35	0.12		0.24	0.04	0.33	0.65	0.08			0.98	0.93
GYS1	0.21	0.09	0.4	0.42	0.24		0.18	0.06	0.12	0.19	0.12			3.03	2.68
GYS2	0.77	0.23	0.89	0.96	0.99		0.99	0.9	0.83	0.83	0.98			0.58	0.61
GZMA	0.61	0.52	0.23	0.85	0.3		0.81	0.55	0.87	0.8	0.94			0.66	0.67
GZMB	0.96	0.54	0.37	0.54	0.88		0.52	0.63	0.64	0.44	0.65			0.73	0.71
GZMH	0.82	0.57	0.87	0.45	0.32		0.86	0.77	0.8	0.48	0.75			0.56	0.57
GZMK	0.09	0.28	0.07	0.53	0.35		0.33	0.25	0.27	0.49	0.07			1	1.01
GZMM	0.02	0.11	0.38	0.39	0.84		0.25	0.31	0.48	0.66	0.97			0.62	0.62
H17	0.73	0.6	0.15	0.08	0.52		0.31	0.17	0.1	0.04	0.26			4.21	3.88
H1F0	0.09	0.58	0.29	0.54	0.4		0.61	0.49	0.64	0.6	0.7			1.25	1.16
H2A/S	0.68	0.17	0.47	0.33	0.54		0.22	0.21	0.1	0.13	0.12			7	7.13
H2AFD	0.56	0.23	0.05	0.05	0.25		0.19	0.05	0.23	0.11	0.04			6.41	6.65
H2AFG	0.57	0.51	0.43	0.05	0.19		0.2	0.56	0.09	0.04	0.02			8.98	8.59
H2AFP	0.53	0.33	0.12	0.14	0.32		0.45	0.09	0.29	0.11	0.07			6.65	6.57
H2AFX	0.14	0.42	0.12	0.21	0.19		0.21	0.17	0.25	0.57	0.16			1.21	1.55
H2AFY	0.45	0.6	0.3	0.45	0.26		0.09	0.33	0.22	0.56	0.3			1.65	1.7
H2AFY2	0.15	0.55	0.25	0.21	0.28		0.72	0.88	0.47	0.65	0.73			1.06	1.05
H2AFZ	0.72	0.13	 	0.96			0.46	0.73		0.84	 			1.94	
H2BFD	0.8	0.69	0.11	0.05	0.29		0.19	0.55	0.33	0.11	0.15			6.33	6.89
H2BFG	0.43	0.57	0.15	0.18	0.52		0.07	0.26	0.14	0.07	0.05			6.37	6.85
H3F3B	0.99	0.92	0.81	0.46	0.95		0.76	0.92	0.47	0.07	0.36			6.08	7.12
H4F2	0.89	0.29	0.11	0.13	0.32		0.23	0.54	0.17	0.07	0.09			4.97	4.53
HAAO	0.36	0.6	 	0.85			0.53	0.79		0.53	 				
HABP2	0.69	0.71	0.63	0.53	0.53		0.98	0.61	0.8	0.85	0.82			0.6	0.69
HADH2	0.97	0.77	0.58	0.47	0.35		0.88	0.45	0.83	0.61	0.9			3.81	2.85
HADHA	0.4	0.4	0.27	0.12	0.22		0	0.04	0.01	0.03	0.04			4.54	5
HADHB	0.57	0.64	0.24	0.17	0.16		0.48	0.22	0.1	0.07	0.09			4.69	5.36
HADHSC	0.81	0.41	0.44	0.13	0.24		0.58	0.63	0.73	0.2	0.44			2.93	2.72
HAGHL			 	0.32	0.16		0.84			0.74	 				
HAL	0.75	0.36	0.66	0.19	0.07		0.25	0.15	0.01	0.04	0.53			0.88	0.77
HAMP	0.14	0.07	0.09	0.22	0.23		0.33	0.06	0.13	0.47	0.06			1.12	1.1
HAND1	0.07	0.1	0.56	0.39	0.35		0.12	0.19	0.67	0.52	0.78			1.56	0.72
HAO1	0.95	0.73	0.92	0.87	0.92		0.89	0.97	0.87	0.85	0.93			0.65	0.55
HAO2	0.26	0.6	0.79	0.43	0.43		0.81	0.72	0.73	0.73	0.55			0.71	0.73
HAPIP	0.32	0.28	0.63	0.92	0.4		0.5	0.82	0.81	0.95	0.92			0.7	0.62
HAPLN1	0.21	0.52	0.69	0.84	0.21		0.42	0.43	0.25	0.56	0.26			0.85	0.87
HAPLN2	0.04	0.07	0.2	0.28	0.25		0.19	0.06	0.18	0.6	0.09			1	1
HARS2	0.25	 	0.23	0.67	 		0.56	0.42	0.75	0.6	0.57			1.72	1.22
HARSL	0.87	0.69	0.71	0.52	0.65		0.4	0.82	0.39	0.41	0.62			3.66	3.45
HAS1	0.26	0.3	0.44	0.08	0.5		0.27	0.21	0.32	0.28	0.21			0.83	0.84
HAS2	0.54	0.33	0.56	0.72	0.29		0.35	0.16	0.62	0.58	0.35			0.96	0.85
HAT	0.98	0.97	0.99	1	0.96		0.98	0.98	0.91	0.96	0.94			0.52	0.52
HAVCR1	0.11	 	0.16	0.65	 		0.43	0.3	0.39	0.47	0.17			1	1.02
HAVCR2	0.94	 	0.91	0.83	 		0.8	0.39	0.33	0.3	0.87			2.95	2.22
HAX1	0.84	0.76	0.42	0.33	0.56		0.16	0.4	0.08	0.05	0.56			4.27	3.77
HB-1	0.42	0.81	0.55	0.35	0.51		0.51	0.47	0.92	0.83	0.87			0.8	0.78
HBA1	0.51	0.65	0.27	0.25	0.16		0.4	0.22	0.41	0.76	0.35			0.92	0.86
HBA2	0.2	0.23	0.17	0.26	0.5		0.18	0.12	0.56	0.44	0.26			1.38	1.49
HBB	0.86	0.83	0.64	0.83	0.76		0.85	0.39	0.85	0.87	0.75			0.83	0.6
HBD	0.58	0.77	0.62	0.87	0.44		0.93	0.42	0.8	0.88	0.63			0.83	0.79
HBE1	0.81	1	0.97	0.93	0.53		0.97	0.99	0.93	0.87	0.96			0.47	0.52
HBG1	0.16	0.35	0.38	0.85	0.43		0.46	0.74	0.69	0.84	0.48			0.7	0.64
HBG2	0.12	0.39	0.25	0.51	0.31		0.33	0.56	0.67	0.86	0.63			0.76	0.64
HBLD2	0.2	0.39	0.35	0.73	0.24		0.69	0.55	0.67	0.77	0.61			0.98	0.98
HBP1	0.69	0.85	0.35	0.21	0.85		0.21	0.43	0.2	0.02	0.43			2.56	2.95
HBQ1	0.59	0.15	0.34	0.51	0.72		0.77	0.6		0.85	0.94			0.83	
HBS1L	0.29	0.13	0.3	0.37	0.83		0.19	0.33	0.07	0.05	0.08			3.14	3.03
HBXAP	0.35	0.23	0.53	0.88	0.33		0.79	0.48	0.37	0.76	0.21			0.85	0.96
HBXIP	0.78	0.6	0.75	0.24	0.5		0.24	0.62	0.23	0.26	0.23			3.76	3.15
HBZ	0.6	0.45	0.12	0.29	0.33		0.55	0.43	0.72	0.38	0.28			0.89	0.85
HCA112	0.7	0.67	 	0.76	0.99		0.74	0.77		0.71	 			4.75	5.89
HCA66	0.45	0.1	0.09	0.02	0.04		0.07	0.12	0.18	0.06	0.01			1.35	1.44
HCAP-G	0.8	0.71	0.42	0.02	0.22		0.24	0.23	0.75	0.01	0.32			3.7	3.77
HCCA2	0.27	0.05	0.06	0.07	0.17		0.17	0.26	0.21	0.22	0.06			0.77	0.74
HCCS	1	0.93	0.72	0.86	0.99		0.99	0.99	0.78	0.66	0.94			2.68	3.09
HCFC1	0.24	0.68	0.44	0.57	0.54		0.4	0.35	0.4	0.44	0.14			1.16	1.33
HCFC2	0.75	0.86	0.39	0.58	0.41		0.45	0.55	0.38	0.28	0.59			2.31	2.15
HCGIV.9	0.17	0.58	0.21	0.4	0.31		0.31	0.36	0.44	0.46	0.52			1.14	1.42
HCK	0.97	0.71	0.18	0.16	0.53		0.49	0.03	0.25	0.02	0.19			4.13	5.06
HCN4	0.06	0.07	0.09	0.21	0.18		0.3	0.54	0.75	0.62	0.34			0.79	0.86
HCNGP	0.63	0.54	0.43	0.38	0.39		0.34	0.6	0.18	0.21	0.29			4.35	4.89
HCRT	0.27	0.43	0.17	0.22	1		0.43	0.44	0.5	0.56	0.39			0.87	0.99
HCRTR1	0.45	0.13	0.52	0.39	0.51		0.28	0.23	0.4	0.58	0.61			0.89	1.02
HCRTR2	0.61	0.63	0.89	0.81	0.95		0.74	0.7	0.82	0.72	0.84			0.78	0.8
HCST	0.64	0.49	0.51	0.01	0.24		0	0	0	0	0.02			4.37	4.33
HD	0.26	0.56	 	0.71			0.47	0.8		0.54	0.94				
HDAC1	0.99	0.65	0.75	0.54	0.4		0.87	0.66	0.71	0.4	0.83			3.15	2.95
HDAC10	0.02	0.21	0.64	0.27	0.58		0.19	0.27	0.56	0.35	0.56			2.45	2
HDAC2	0.51	0.72	0.33	0.04	0.41		0.04	0.16	0.18	0.1	0.15			2.38	2.53
HDAC3	0.57	0.68	0.15	0.47	0.08		0.31	0.45	0.72	0.29	0.36			3.16	2.93
HDAC6	0.21	0.1	0.36	0.1	0.41		0.48	0.77	0.42	0.01	0.29			3.32	3.46
HDAC7A	0.22	0.14	0.51	0.52	0.18		0.64	0.47	0.49	0.72	0.58			0.58	1.57
HDAC8	0.75	0.92	0.68	0.09	0.95		0.45	0.69	0.96	0.09	0.58			0.89	1.14
HDAC9	0.79	 	0.7	0.86	 		0.84	0.26	0.26	0.74	0.67			0.98	0.99
HDC	0.47	0.82	0.76	0.77	0.58		0.79	0.6	0.67	0.69	0.78			0.81	0.77
HDHD2	0.47	0.5	0.43	0.4	0.66		0.36	0.31	0.16	0.23	0.24			6.48	6.13
HEAB	0.6	0.44	 	0.34	1		0.55	0.72		0.55	0.92				
HEBP1	0.07	0.44	0.87	0.46	0.91		0.85	0.78	0.77	0.74	0.88			2.38	1.12
HEBP2	0.66	 	0.38	0.57	 		0.35	0.63	0.3	0.14	0.43			3.01	3.58
HECA	0.12	 	 	0.35	 		0.74	0.8		0.73	0.49			0.78	
HEIL1	0.95	0.73	0.55	0.9	0.89		0.81	0.68	0.79	0.87	0.88			0.88	0.8
HEL308	0.94	0.2	0.23	0.41	1		0.6	0.4	0.25	0.08	0.45			4.72	6.25
HEM1	0.83	0.09	0.39	0.66	1		0.53	0.88	0.78	0.64	0.65			2.85	3.39
HEMK1	0.31	0.06	0.11	0.22	0.29		0.39	0.09	0.23	0.18	0.1			2.18	1.85
HEPH	0.59	0.35	0.72	0.79	0.32		0.71	0.58	0.41	0.68	0.75			0.79	0.76
HERC2	1	0.99	1	0.96	0.21		0.97	0.99	0.88	0.97	0.95			0.65	0.6
HERC3	0.88	0.36	0.28	0.17	0.54		0.42	0.1	0.34	0.11	0.38			2.6	1.8
HERC5	0.31	 	0.1	0.22	 		0.32	0.11	0.17	0.38	0.04			1.05	1.04
HERPUD1	0.67	0.3	0.25	0.17	0.27		0.49	0.02	0.05	0.01	0.32			4.96	4.31
HES1	0.62	 	1	0.68	 		0.84	0.99	0.72	0.78	 				
HES6	0.88	0.04	 	0.7	0.42		0.93	0.89	0.63	0.65	 				
HES7	0.55	0.4	0.24	0.38	0.3		0.48	0.56	0.55	0.47	0.25			0.94	0.97
HESX1	1	1	1	0.99	1		1	1	0.98	0.96	1			0.45	0.48
HEXA	0.73	0.85	0.34	0.19	0.94		0.18	0.59	0.04	0.05	0.21			5.71	4.66
HEY2	0.64	0.32	0.71	0.96	0.53		0.72	0.93	0.77	0.7	0.79			0.75	0.63
HFE	0.67	0.7	0.6	0.63	1		0.92	0.59	0.73	0.62	0.43			0.7	0.62
HFL1	1	0.96	0.98	0.98	0.75		0.99	0.96	0.77	0.9	0.94			0.55	0.58
HFL3	1	1	1	0.96	0.94		0.96	0.96	0.98	0.87	1			0.57	0.53
HGD	0.48	0.58	0.71	0.78	0.86		0.75	0.3	0.4	0.74	0.76			0.79	0.89
HGFAC	0.07	0.41	0.4	0.47	0.94		0.16	0.24	0.46	0.45	0.38			1.07	1.11
HHAT	0.89		 	0.86	0.26		0.47			0.79	 				
HHCM	0.2	0.17	0.07	0.43	0.28		0.33	0.25	0.31	0.64	0.06			0.95	1
HHEX	0.2	1	0.96	0.84	0.14		0.73	0.88	0.66	0.63	 			2.58	1.42
HIF1A	0.69	0.66	0.5	0.36	0.87		0.56	0.36	0.09	0.05	0.76			2.43	2.65
HIF1AN	0.64	0.64	0.7	0.19	0.27		0.68	0.87	0.21	0.01	0.44			3.92	3.62
HIF3A	0.64	 	0.22	0.55	 		0.12	0.38	0.68	0.47	0.24			0.73	0.77
HIMAP4	0.64	0.21	0.73	0.72	0.32		0.26	0.51	0.8	0.68	0.67			0.65	0.67
HINT2	0.99	0.88	0.37	0.11	0.64		0.68	0.71	0.55	0.01	0.58			2.41	2.07
HINT3	0.85	0.85	0.49	0.44	0.95		0.77	0.79	0.54	0.23	0.61			2.34	1.97
HIP1	0.62	0.35	0.22	0.58	0.29		0.69	0.48	0.44	0.73	0.31			0.89	0.99
HIRIP3	0.86	0.32	0.4	0.39	0.14		0.42	0.58	0.18	0.14	0.12			4.42	3.69
HIS1	0.18	0.31	0.11	0.09	0.27		0.1	0.22	0.04	0.03	0.14			5.44	5.6
HIST1H1A	0.32	0.48	0.17	0.45	0.53		0.59	0.32	0.72	0.66	0.63			0.94	1.01
HIST1H1B	0.82	0.36	0.64	0.67	0.63		0.95	0.72	0.72	0.86	0.55			3.95	3.34
HIST1H1C	0.51	0.91	0.24	0.75	0.54		0.63	0.64	0.38	0.01	0.59			4.44	4.86
HIST1H1D	0.79	0.99	0.85	0.9	0.82		0.9	0.51	0.83	0.66	0.9			3.41	3.37
HIST1H1E	0.99	0.91	0.55	0.62	0.92		0.9	0.97	0.74	0.56	0.89			5.71	5.61
HIST1H1T	0.36	0.45	0.35	0.52	0.36		0.34	0.53	0.4	0.78	0.57			0.83	0.89
HIST1H2AB	0.78	0.45	0.17	0.5	0.93		0.13	0.64	0.68	0.56	0.22			3.56	5.21
HIST1H2AC	0.32	0.25	0.34	0.1	0.25		0.06	0.58	0.17	0.05	0.08			7	6.78
HIST1H2AE	0.64	0.57	0.3	0.28	0.3		0.24	0.09	0.34	0.11	0.29			4.07	4.37
HIST1H2AI	0.75	0.73	0.52	0.14	0.33		0.1	0.12	0.14	0.21	0.07			6.33	6.71
HIST1H2AJ	0.62	0.42	0.37	0.16	0.28		0.2	0.16	0.1	0.1	0.1			6.57	6.94
HIST1H2AL	0.26	0.12	0.3	0.27	0.39		0.01	0.59	0.15	0.26	0.05			2.93	3.05
HIST1H2AM	0.46	0.58	0.18	0.13	0.24		0.02	0.17	0.2	0.03	0.05			7.16	7.09
HIST1H2BB	0.58	0.68	0.31	0.3	1		0.13	0.54	0.62	0.23	0.42			5.26	5.7
HIST1H2BD	0.78	0.71	0.32	0.16	0.61		0.45	0.65	0.25	0.07	0.26			6.4	6.56
HIST1H2BE	0.27	0.65	0.19	0.32	0.32		0.21	0.53	0.42	0.16	0.42			4.52	4.18
HIST1H2BG	0.25	0.41	0.45	0.1	0.31		0.29	0.13	0.23	0.1	0.09			4.26	4.47
HIST1H2BH	0.3	0.39	0.41	0.09	0.19		0.06	0.24	0.72	0.24	0.55			3.25	3.33
HIST1H2BI	0.3	0.27	0.1	0.17	0.1		0.59	0.44	0.48	0.21	0.09			2.5	2.55
HIST1H2BJ	0.76	0.71	0.46	0.43	0.62		0.34	0.17	0.33	0.3	0.35			6.38	6.32
HIST1H2BK	0.75	 	0.14	0.22	 		0.09	0.58	0.28	0.06	0.18			6.29	7.71
HIST1H2BL	0.73	0.72	0.16	0.46	1		0.15	0.69	0.3	0.19	0.27			6.23	6.48
HIST1H2BM	0.34	0.18	0.43	0.17	0.22		0.09	0.17	0.09	0.08	0.04			6.28	6.77
HIST1H2BO	0.96	0.33	0.26	0.15	0.29		0.11	0.12	0.22	0.06	0.08			6.55	7.09
HIST1H3A	0.4	0.38	0.66	0.22	0.96		0.43	0.66	0.28	0.26	0.23			5.3	5.06
HIST1H3B	0.83	0.15	0.18	0.15	0.55		0.24	0.76	0.55	0.21	0.42			3.9	4.04
HIST1H3C	0.62	0.68	0.62	0.69	0.95		0.41	0.64	0.32	0.42	0.53			3.99	4.19
HIST1H3D	0.65	0.42	0.36	0.11	0.4		0.18	0.35	0.49	0.18	0.47			4.9	4.9
HIST1H3E	0.54	0.9	0.64	0.2	0.87		0.38	0.34	0.39	0.26	0.7			3.76	3.9
HIST1H3F	0.55	0.41	0.88	0.59	0.99		0.07	0.78	0.75	0.4	0.84			3.5	3.49
HIST1H3G	0.54	0.2	0.31	0.3	0.55		0.54	0.09	0.63	0.36	0.79			3.27	3.3
HIST1H3H	0.59	0.63	0.74	0.37	0.71		0.14	0.41	0.39	0.24	0.21			4.74	5.15
HIST1H3I	0.28	0.43	0.38	0.34	0.4		0.23	0.22	0.42	0.36	0.45			4.91	4.54
HIST1H3J	0.14	0.39	0.4	0.67	0.61		0.67	0.62	0.32	0.64	0.23			1.73	1.86
HIST1H4A	0.37	0.22	0.46	0.35	0.66		0.35	0.51	0.23	0.25	0.27			2.43	2.43
HIST1H4B	0.89	0.66	0.58	0.38	1		0.21	0.42	0.57	0.47	0.7			3.41	3.28
HIST1H4C	0.98	0.23	0.82	0.93	1		0.98	0.96	0.74	0.75	0.95			2.5	3.06
HIST1H4D	0.8	0.43	0.27	0.77	0.69		0.58	0.36	0.39	0.23	0.37			3.59	3.66
HIST1H4E	0.24	0.12	0.23	0.59	0.94		0.47	0.59	0.16	0.49	0.12			1.39	1.27
HIST1H4F	0.43	0.57	0.44	0.42	0.54		0.7	0.8	0.72	0.55	0.56			1.14	2.11
HIST1H4G	0.08	0.27	0.1	0.28	0.41		0.03	0.55	0.45	0.48	0.04			1.07	1.06
HIST1H4H	0.23	0.42	0.26	0.14	0.92		0.03	0.11	0.12	0.05	0.26			3.14	2.88
HIST1H4I	0.68	0.81	0.04	0.06	0.27		0.07	0	0	0	0.21			4.51	6.32
HIST1H4J	0.2	0.16	0.08	0.07	0.1		0.05	0.09	0.13	0.11	0.09			3.16	3.18
HIST1H4K	0.64	0.76	0.09	0.03	0.23		0.01	0	0	0	0.04			6.1	5.98
HIST1H4L	0.61	0.27	0.2	0.4	0.82		0.69	0.53	0.32	0.28	0.67			2.44	2.29
HIST2H2BE	0.76	0.72	 	0.43	0.42		0.57	0.45		0.6	 				
HIST3H2A	0.65	0.59	0.16	0.05	1		0.05	0.23	0.21	0.1	0.14			5.23	5.89
HIST3H3	0.16	0.2	0.18	0.39	0.27		0.3	0.2	0.41	0.42	0.17			1.84	1.99
HIVEP1	0.46	0.47	0.41	0.33	0.93		0.39	0.07	0.53	0.58	0.58			1.13	2.49
HIVEP3	0.63	0.32	0.91	0.52	0.51		0.58	0.75	0.75	0.46	0.84			0.71	0.68
HK1	0.33	0.16	0.18	0.5	0.53		0.28	0.23	0.3	0.6	0.23			0.87	0.93
HK2	0.23	0.08	0.1	0.43	0.5		0.52	0.12	0.33	0.55	0.24			0.93	0.99
HK3	0.64	0.54	0.67	0.21	0.29		0.19	0.18	0.11	0.13	0.48			3.67	2.53
HKE2	0.93	0.97	0.49	0.66	0.6		0.89	0.74	0.29	0.22	0.54			3.06	2.81
HKR3	0.21	0.57	0.19	0.13	0.26		0.4	0.05	0.53	0.11	0.4			3.45	3.59
HLA-A	0.12	0.24	0.11	0.11	0.37		0.15	0.34	0.72	0.23	0.16			2	4
HLA-B	0.57	0.42	0.11	0	0		0	0.15	0.01	0	0			5.47	7.25
